request_id,conversation_id,period,created_at,employee_id,employee_department,category,topic,question_text,route,answer_source,knowledge_version,user_confirmed_resolved,resolution_type,recontact_within_24h,peer_reask,feedback_score,response_seconds,input_tokens,output_tokens,api_call_count,retry_count,status_code,error_type,api_cost_krw
R000001,C00001,initial_1m,2026-06-02 09:42:00,E0167,인사,재무,출장비,출장비 정산 기준 알려줘,LLM,LLM,,0,coworker,0,0,2.9,7.22,2076,629,3,2,200,,16.64
R000002,C00002,initial_1m,2026-06-12 00:03:00,E0196,영업,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,0,department,0,0,3.4,5.12,1318,289,1,0,200,,3.06
R000003,C00003,initial_1m,2026-06-15 18:30:00,E0269,영업,인사,근태,근태 수정 절차 알려줘,LLM,LLM,,0,coworker,1,0,3.9,4.02,2549,414,1,0,200,,5.31
R000004,C00004,initial_1m,2026-06-28 01:54:00,E0045,디자인,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,0,coworker,0,1,2.4,7.73,1611,279,1,0,200,,3.43
R000005,C00005,initial_1m,2026-06-18 02:08:00,E0122,개발,인사,복지,복지포인트 사용 방법 알려줘,FAQ,FAQ,faq_복지_v1,1,chatbot,1,1,3.6,0.65,0,0,0,0,200,,0.0
R000006,C00006,initial_1m,2026-06-19 08:30:00,E0069,기획,일반규정,보안,자료 반출 기준 알려줘,RULE,RULE,,0,coworker,0,0,1.5,0.26,0,0,0,0,200,,0.0
R000007,C00007,initial_1m,2026-06-23 01:15:00,E0234,개발,인사,복지,복지포인트 사용 방법 알려줘,RAG,RAG,복지_guide_v1,1,chatbot,0,0,2.5,5.77,2386,279,1,0,200,,4.51
R000008,C00008,initial_1m,2026-06-03 07:52:00,E0273,IT운영,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,0,unresolved,1,0,3.6,4.66,2469,325,1,0,200,,4.82
R000009,C00009,initial_1m,2026-06-07 17:15:00,E0209,디자인,재무,출장비,출장비 정산 기준 알려줘,RAG,RAG,출장비_guide_v1,1,chatbot,0,0,4.0,4.83,1515,372,1,0,200,,3.68
R000010,C00010,initial_1m,2026-06-06 10:05:00,E0216,개발,일반규정,보안,자료 반출 기준 알려줘,LLM,LLM,,0,document,0,0,2.8,4.18,1527,351,1,0,504,timeout,3.61
R000011,C00011,initial_1m,2026-06-21 23:57:00,E0283,영업,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,1,chatbot,0,1,3.6,4.72,2487,525,2,1,200,,11.37
R000012,C00012,initial_1m,2026-06-20 09:33:00,E0244,재무,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,0,document,0,1,2.6,7.5,1290,275,1,0,200,,2.96
R000013,C00013,initial_1m,2026-06-15 01:29:00,E0197,개발,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,0,coworker,0,1,1.4,5.97,1376,330,1,0,200,,3.31
R000014,C00014,initial_1m,2026-06-11 04:34:00,E0047,고객지원,인사,근태,근태 수정 절차 알려줘,LLM,LLM,,1,chatbot,0,0,3.9,5.94,2072,259,1,0,200,,3.99
R000015,C00015,initial_1m,2026-06-07 08:59:00,E0039,영업,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,0,department,0,1,1.9,6.06,1296,470,1,0,200,,3.79
R000016,C00016,initial_1m,2026-06-18 22:11:00,E0097,IT운영,IT,네트워크,사내 인터넷 연결이 불안정해,RULE,RULE,,0,coworker,1,1,2.3,0.65,0,0,0,0,200,,0.0
R000017,C00017,initial_1m,2026-06-07 09:07:00,E0157,디자인,총무,비품,사무용 비품 신청 방법 알려줘,LLM,LLM,,0,coworker,0,0,1.8,4.2,2370,432,1,0,200,,5.13
R000018,C00018,initial_1m,2026-06-22 23:29:00,E0279,영업,총무,비품,사무용 비품 신청 방법 알려줘,FAQ,FAQ,faq_비품_v1,1,chatbot,0,0,4.9,0.79,0,0,0,0,200,,0.0
